,email,link
0,,
1,email,link
2,info@alanascafe.com,https://www.alanascafe.com/
3,theamericanbullbarandgrill@gmail.com,http://www.theamericanbull.com/contact-us.html
4,info@asianbox.com,https://www.asianbox.com/franchising/
5,aslamsrasoi@gmail.com,https://aslamsrasoi.com/contact/
6,info@barrelhousetavern.com,https://barrelhousetavern.com/
7,events@barrelhousetavern.com,https://barrelhousetavern.com/contact/
8,impallari@gmail.com,https://bayrootsf.com/menu
9,benihana@wgiftcard.com,https://www.benihana.com/gift-cards/
10,giftcards@benihana.com,https://www.benihana.com/gift-cards/
11,production@benihana.com,https://shop.benihana.com
12,shop@benihana.com,https://shop.benihana.com
13,comments@bluelinepizza.com,https://bluelinepizza.com/contact/
14,giftcards@bluelinepizza.com,https://bluelinepizza.com/gift-cards/
15,techsupport@bluelinepizza.com,https://bluelinepizza.com/accessibility/
16,jobs@bluelinepizza.com,https://bluelinepizza.com/employment/
17,catering@bluelinepizza.com,https://bluelinepizza.com/faqs/
18,groups@bluelinepizza.com,https://bluelinepizza.com/faqs/
19,catering@BlueLinePizza.com,https://bluelinepizza.com/order-online/
20,dsuh@sanbrunogolf.com,http://www.sanbrunogolf.com
21,caliaga@marinerspoint.com,https://www.marinerspoint.com/
22,info@caffecentral.com,https://www.caffecentral.com/seasonal
23,info@soulgrindcoffee.com,https://www.soulgrindcoffee.com/
24,eddie@soulgrindcoffee.com,https://www.soulgrindcoffee.com/
25,willakkaya@gmail.com,https://cafefigaro.me/
26,thechefstable@benihana.com.,https://www.benihana.com/promotions/chefs-table/
27,thechefstable@benihana.com,https://www.benihana.com/promotions/chefs-table/
28,TheChefsTable@benihana-news.com,https://www.benihana.com/promotions/chefs-table/
29,TheChefsTable@benihana-news.com.,https://www.benihana.com/promotions/chefs-table/
30,kabukikids@benihana.com.,https://www.benihana.com/promotions/chefs-table/
31,info@copenhagenbakery.com,https://copenhagenbakery.com/cafe-menus/
32,Info@crepevine.com,https://crepevine.com
33,info@crepevine.com,https://crepevine.com
34,maher@crepevine.com,https://www.sanjose.org/listings/crepevine
35,events@cuisinestyle.com,https://cuisinestyle.com/privacy-policy/
36,shop@cuisinestyle.com,https://cuisinestyleshop.com/
37,sales@danlies.com,https://danlies.com/faqs/
38,sales@danlies.com.,https://danlies.com/faqs/
39,eddie@deloliva.com,https://www.deloliva.com/contact/
40,Online@danlies.com,https://danlies.com/
41,todd@elwoodwinesusa.com,http://www.elwoodwinesusa.com/index.html
42,Alex@eurodrinkimporter.com,http://www.eurodrinkimporter.com/contact-us.html
43,Farmandvinebistro@gmail.com,https://farmandvinebistro.com/contact
44,yourname@example.com,https://www.gloriafood.com
45,sales@glowherbalgenic.com,https://glowherbalgenic.com/?page_id=1908
46,marketing@hlpeninsula.com,https://www.hlpeninsula.com/hl-peninsula-restaurant-private-event
47,southsf@hlpeninsula.com,https://www.hlpeninsula.com/
48,burlingame@hlpeninsula.com,https://www.hlpeninsula.com/
49,milpitas@hlpeninsula.com,https://www.hlpeninsula.com/
50,hotpotgrill@hlpeninsula.com,https://www.hlpeninsula.com/
51,stan@iprivesake.com,https://iprivesake.com/gift-cards
52,jobs@iprivesake.com,https://iprivesake.com/jobs
53,dataprotection@ilfo.com,https://www.ilfornaio.com/california-privacy-notice/
54,info@ilfornaio.com,https://www.ilfornaio.com/privacy/
55,info@ilfo.com,https://www.ilfornaio.com/accessibility/
56,beverlyhills@ilfo.com,https://www.ilfornaio.com/locations/
57,burlingame@ilfo.com,https://www.ilfornaio.com/locations/
58,carmel@ilfo.com,https://www.ilfornaio.com/locations/
59,coronado@ilfo.com,https://www.ilfornaio.com/locations/
60,cortemadera@ilfo.com,https://www.ilfornaio.com/locations/
61,delmar@ilfo.com,https://www.ilfornaio.com/locations/
62,irvine@ilfo.com,https://www.ilfornaio.com/locations/
63,canaletto@ilfo.com,https://www.ilfornaio.com/locations/
64,nyny@ilfo.com,https://www.ilfornaio.com/locations/
65,manhattanbeach@ilfo.com,https://www.ilfornaio.com/locations/
66,paloalto@ilfo.com,https://www.ilfornaio.com/locations/
